timestamp,demand_mw,hour,day_of_week,is_weekend,demand_normalized
2015-01-08 22:00:00+00:00,39948.0,22,3,0,0.693373419835786
2015-01-08 23:00:00+00:00,36064.0,23,3,0,0.6250857112716915
2015-01-09 00:00:00+00:00,32332.0,0,4,0,0.5594704362044411
2015-01-09 01:00:00+00:00,31860.0,1,4,0,0.5511718269247675
2015-01-09 02:00:00+00:00,30478.0,2,4,0,0.5268737802626721
2015-01-09 03:00:00+00:00,29376.0,3,4,0,0.5074986374105526
2015-01-09 04:00:00+00:00,28261.0,4,4,0,0.48789493116725563
2015-01-09 05:00:00+00:00,28469.0,5,4,0,0.4915519454260949
2015-01-09 06:00:00+00:00,32533.0,6,4,0,0.563004377868031
2015-01-09 07:00:00+00:00,40455.0,7,4,0,0.7022873920917067
2015-01-09 08:00:00+00:00,45362.0,8,4,0,0.7885612813615346
2015-01-09 09:00:00+00:00,45658.0,9,4,0,0.7937654939606519
2015-01-09 10:00:00+00:00,45868.0,10,4,0,0.7974576718181339
2015-01-09 11:00:00+00:00,45629.0,11,4,0,0.793255621780333
2015-01-09 12:00:00+00:00,45683.0,12,4,0,0.7942050389436855
2015-01-09 13:00:00+00:00,45842.0,13,4,0,0.797000545035779
2015-01-09 14:00:00+00:00,45884.0,14,4,0,0.7977389806072753
2015-01-09 15:00:00+00:00,45486.0,15,4,0,0.790741424477381
2015-01-09 16:00:00+00:00,47704.0,16,4,0,0.8297378553721187
2015-01-09 17:00:00+00:00,50584.0,17,4,0,0.8803734374175853
2015-01-09 18:00:00+00:00,50502.0,18,4,0,0.8789317298732352
2015-01-09 19:00:00+00:00,48562.0,19,4,0,0.8448230391898307
2015-01-09 20:00:00+00:00,45570.0,20,4,0,0.7922182956203738
2015-01-09 21:00:00+00:00,42230.0,21,4,0,0.7334950858870897
2015-01-09 22:00:00+00:00,38578.0,22,4,0,0.6692863547655467
2015-01-09 23:00:00+00:00,35332.0,23,4,0,0.6122158341684688
2015-01-10 00:00:00+00:00,32780.0,0,5,1,0.5673470823004026
2015-01-10 01:00:00+00:00,32108.0,1,5,1,0.5555321131564604
2015-01-10 02:00:00+00:00,29018.0,2,5,1,0.501204353253512
2015-01-10 03:00:00+00:00,27552.0,3,5,1,0.4754294354484238
2015-01-10 04:00:00+00:00,26266.0,4,5,1,0.45281924152117725
2015-01-10 05:00:00+00:00,26036.0,5,5,1,0.44877542767726847
